Year, Score
1900, 3.5
1901, 0
1902, 12.0
1903, 1.33333333333
1904, 0.0
1905, 0
1906, 3.66666666667
1907, 1.66666666667
1908, 2.0
1909, 1.5
1910, 4.14285714286
1911, 0.294117647059
1912, 18.0
1914, 0
1915, 34.0
1916, 1.0
1917, 0
1918, 0
1919, 5.85714285714
1920, 11.3333333333
1921, 9.0
1922, 0
1923, 0
1924, 0
1925, 0
1926, 0
1927, 3.8
1928, 0
1929, 2.0
1930, 0
1931, 0
1932, 25.0
1933, 0
1934, 0
1935, 0
1936, 0
1937, 0
1938, 21.5
1939, 0
1940, 0.5
1941, 0
1942, 0
1943, 4.75
1944, 42.0
1945, 23.0
1946, 8.5
1947, 3.5
1948, 10.0
1949, 5.66666666667
1950, 0
1951, 6.5
1952, 6.2
1953, 1.0
1954, 1.0
1955, 0.0
1956, 5.0
1957, 0
1958, 0
1959, 0.0
1960, 0
1961, 2.11111111111
1962, 3.46666666667
1963, 5.5
1964, 4.0
1965, 0
1966, 0
1967, 7.4
1968, 11.4
1969, 1.83333333333
1970, 20.0
1971, 0
1972, 40.0
1973, 0
1974, 11.0
1975, 2.44444444444
1976, 12.0
1977, 27.5
1978, 1.625
1979, 3.8
1980, 0
1981, 5.90909090909
1982, 3.28571428571
1983, 2.75
1984, 1.38461538462
1985, 33.0
1986, 0
1987, 0
1988, 0
1989, 1.54166666667
1990, 1.71428571429
1991, 0.705882352941
1992, 5.3125
1993, 39.0
1994, 5.75
1995, 0.766666666667
1996, 79.0
1997, 2.4
1998, 1.64285714286
1999, 4.76923076923
